long,lat
32.4787638,-9.0306876
32.4790207,-9.0313976
32.47915,-9.0322134
32.4789563,-9.0325207
32.4794504,-9.0334849
32.4786351,-9.0339935
32.478678,-9.034375
32.4787418,-9.0349154
32.4784628,-9.0351485
32.4784843,-9.0353392
32.4786989,-9.035212
32.4787847,-9.0353816
32.4785921,-9.0354769
32.4781624,-9.0357842
32.4776474,-9.0360809
32.477133,-9.0364517
32.476832,-9.0366954
32.4763171,-9.0371617
32.4761668,-9.0374583
32.4758235,-9.037861
32.4760381,-9.0379245
32.4758021,-9.0382424
32.4755231,-9.0387722
32.4755452,-9.0389523
32.4756519,-9.0391324
32.4759308,-9.0394079
32.4760381,-9.0398529
32.4761025,-9.0406158
32.4763171,-9.041082
32.4762956,-9.0412516
32.4760166,-9.0418237
32.4757162,-9.042131
32.4761025,-9.0423429
32.4756733,-9.0428939
32.4755881,-9.0431905
32.4758885,-9.0437839
32.4767468,-9.0443348
32.4775193,-9.0447163
32.4783346,-9.0453944
32.479364,-9.0457334
32.4797932,-9.0459453
32.4804798,-9.0462844
32.4813387,-9.0467082
32.4813381,-9.0475558
32.481682,-9.0479796
32.482197,-9.0484882
32.4829689,-9.0496325
32.4835268,-9.0496325
32.4834845,-9.048912
32.4834839,-9.0478101
32.4835912,-9.047079
32.4839345,-9.0470367
32.4836556,-9.0463374
32.4841062,-9.0462526
32.4844286,-9.0463268
32.4844924,-9.0456381
32.4845353,-9.0450871
32.4848357,-9.0442395
32.4850289,-9.0436885
32.4851791,-9.0431164
32.4856303,-9.0422581
32.4860803,-9.0413575
32.4868319,-9.0399271
32.4873463,-9.0384543
32.4876473,-9.0376384
32.4876038,-9.0373312
32.4875614,-9.0366636
32.4874536,-9.0360809
32.4873248,-9.0340677
32.4874536,-9.0333048
32.4876467,-9.0327326
32.4876682,-9.0323936
32.487239,-9.0324148
32.4873463,-9.0319486
32.487239,-9.0313764
32.4871752,-9.0310691
32.4868957,-9.0309314
32.486724,-9.0310161
32.4863378,-9.0308466
32.4858877,-9.0308148
32.4853936,-9.0306982
32.4850074,-9.0306347
32.4846212,-9.0307406
32.4842999,-9.0310691
32.4840847,-9.0311645
32.4836991,-9.0314082
32.4830762,-9.0313764
32.4824545,-9.031281
32.4817673,-9.031228
32.4812523,-9.0310797
32.4809096,-9.0312386
32.4806086,-9.0311221
32.4800507,-9.0311009
32.4794928,-9.0308042
32.4787638,-9.0306876
